,Date,Time,Cycle,Sts
0,2021-1-13,00:00:00,0.0,0
1,2021-1-13,00:00:01,0.004166666666666667,0
2,2021-1-13,00:00:02,0.008333333333333333,0
3,2021-1-13,00:00:03,0.0125,0
4,2021-1-13,00:00:04,0.16045315430676715,0
5,2021-1-13,00:00:05,0.020833333333333332,0
6,2021-1-13,00:00:06,0.025,0
7,2021-1-13,00:00:07,0.5357358585505498,0
8,2021-1-13,00:00:08,0.9446564026313352,0
9,2021-1-13,00:00:09,0.5101302528365018,0
10,2021-1-13,00:00:10,0.041666666666666664,0
11,2021-1-13,00:00:11,0.7556028154396288,0
12,2021-1-13,00:00:12,0.5125295408016521,0
13,2021-1-13,00:00:13,0.05416666666666667,0
14,2021-1-13,00:00:14,0.058333333333333334,0
15,2021-1-13,00:00:15,0.0625,0
16,2021-1-13,00:00:16,0.06666666666666667,0
17,2021-1-13,00:00:17,0.3972469308257722,0
18,2021-1-13,00:00:18,0.075,0
19,2021-1-13,00:00:19,0.07916666666666666,0
20,2021-1-13,00:00:20,0.8538756606430737,0
21,2021-1-13,00:00:21,0.0875,0
22,2021-1-13,00:00:22,0.27285490303024196,0
23,2021-1-13,00:00:23,0.09583333333333334,0
24,2021-1-13,00:00:24,0.1,0
25,2021-1-13,00:00:25,0.10416666666666667,0
26,2021-1-13,00:00:26,1.0878014571897117,0
27,2021-1-13,00:00:27,0.1125,0
28,2021-1-13,00:00:28,0.544286031511288,0
29,2021-1-13,00:00:29,0.46086158515187314,0
30,2021-1-13,00:00:30,0.6773798885019893,0
31,2021-1-13,00:00:31,0.12916666666666668,0
32,2021-1-13,00:00:32,0.5738453336172152,0
33,2021-1-13,00:00:33,0.21799240743696585,0
34,2021-1-13,00:00:34,1.0776497497609867,0
35,2021-1-13,00:00:35,0.14583333333333334,0
36,2021-1-13,00:00:36,1.1146005265288188,0
37,2021-1-13,00:00:37,0.15416666666666667,0
38,2021-1-13,00:00:38,0.4633244843693727,0
39,2021-1-13,00:00:39,0.34046911729031804,0
40,2021-1-13,00:00:40,0.9131722269343543,0
41,2021-1-13,00:00:41,0.17083333333333334,0
42,2021-1-13,00:00:42,0.175,0
43,2021-1-13,00:00:43,0.17916666666666667,0
44,2021-1-13,00:00:44,0.18333333333333332,0
45,2021-1-13,00:00:45,0.5202827171850665,0
46,2021-1-13,00:00:46,0.19166666666666668,0
47,2021-1-13,00:00:47,0.19583333333333333,0
48,2021-1-13,00:00:48,0.7292354392401195,0
49,2021-1-13,00:00:49,1.142199913435105,0
50,2021-1-13,00:00:50,0.20833333333333334,0
51,2021-1-13,00:00:51,0.2125,0
52,2021-1-13,00:00:52,0.21666666666666667,0
53,2021-1-13,00:00:53,0.22083333333333333,0
54,2021-1-13,00:00:54,0.3126808795009899,0
55,2021-1-13,00:00:55,0.22916666666666666,0
56,2021-1-13,00:00:56,0.7284692915653728,0
57,2021-1-13,00:00:57,0.2375,0
58,2021-1-13,00:00:58,0.24166666666666667,0
59,2021-1-13,00:00:59,0.24583333333333332,0
60,2021-1-13,00:01:00,0.5662306926608234,0
61,2021-1-13,00:01:01,0.25416666666666665,0
62,2021-1-13,00:01:02,0.903317994068175,0
63,2021-1-13,00:01:03,0.2625,0
64,2021-1-13,00:01:04,0.26666666666666666,0
65,2021-1-13,00:01:05,0.2708333333333333,0
66,2021-1-13,00:01:06,0.5895817864484223,0
