,Date,Time,sensor,anomaly
0,2021-1-29,00:00:00,50.01914380397712,0
1,2021-1-29,00:00:01,50.03902484645827,0
2,2021-1-29,00:00:02,50.03472124727722,0
3,2021-1-29,00:00:03,50.032670392514476,0
4,2021-1-29,00:00:04,50.048494356848146,0
5,2021-1-29,00:00:05,50.034042816038394,0
6,2021-1-29,00:00:06,50.05991116877373,0
7,2021-1-29,00:00:07,50.05679452147626,0
8,2021-1-29,00:00:08,50.03748346955,0
9,2021-1-29,00:00:09,50.03505318440205,0
10,2021-1-29,00:00:10,50.05579629642033,0
11,2021-1-29,00:00:11,50.0641475753188,0
12,2021-1-29,00:00:12,50.08184569566809,0
13,2021-1-29,00:00:13,50.06065271786704,0
14,2021-1-29,00:00:14,50.06776160619707,0
15,2021-1-29,00:00:15,50.07441956259336,0
16,2021-1-29,00:00:16,50.055150931883226,0
17,2021-1-29,00:00:17,50.05651790755018,0
18,2021-1-29,00:00:18,50.10794316530837,0
19,2021-1-29,00:00:19,50.105972303731384,0
20,2021-1-29,00:00:20,50.10138080387577,0
21,2021-1-29,00:00:21,50.1130046024946,0
22,2021-1-29,00:00:22,50.10990946122591,0
23,2021-1-29,00:00:23,50.102761972161304,0
24,2021-1-29,00:00:24,50.10364285394067,0
25,2021-1-29,00:00:25,50.11631746849092,0
26,2021-1-29,00:00:26,50.10299878906108,0
27,2021-1-29,00:00:27,50.12834930848512,0
28,2021-1-29,00:00:28,50.08862497796917,0
29,2021-1-29,00:00:29,50.13385295892729,0
30,2021-1-29,00:00:30,50.08863427472656,0
31,2021-1-29,00:00:31,50.115922312757164,0
32,2021-1-29,00:00:32,50.0953232705724,0
33,2021-1-29,00:00:33,50.12276471167164,0
34,2021-1-29,00:00:34,50.103608255905954,0
35,2021-1-29,00:00:35,50.11080250943571,0
36,2021-1-29,00:00:36,50.14187339998824,0
37,2021-1-29,00:00:37,50.112249182375336,0
38,2021-1-29,00:00:38,50.129145408922334,0
39,2021-1-29,00:00:39,50.143631909898154,0
40,2021-1-29,00:00:40,50.12283972954354,0
41,2021-1-29,00:00:41,50.13411443066646,0
42,2021-1-29,00:00:42,50.133758295098005,0
43,2021-1-29,00:00:43,50.11500716599311,0
44,2021-1-29,00:00:44,50.102368027965674,0
45,2021-1-29,00:00:45,50.1094989163762,0
46,2021-1-29,00:00:46,50.14118603734022,0
47,2021-1-29,00:00:47,50.117433864721185,0
48,2021-1-29,00:00:48,50.104897289459544,0
49,2021-1-29,00:00:49,50.126522807136936,0
50,2021-1-29,00:00:50,50.126206557630304,0
51,2021-1-29,00:00:51,50.14570750526971,0
52,2021-1-29,00:00:52,50.12831942262192,0
53,2021-1-29,00:00:53,50.10359437768532,0
54,2021-1-29,00:00:54,50.12378508625815,0
55,2021-1-29,00:00:55,50.12622664392959,0
56,2021-1-29,00:00:56,50.136564220693245,0
57,2021-1-29,00:00:57,50.10959987185782,0
58,2021-1-29,00:00:58,50.09737255714485,0
59,2021-1-29,00:00:59,50.10709179353694,0
60,2021-1-29,00:01:00,50.13100448795515,0
61,2021-1-29,00:01:01,50.11214799281222,0
62,2021-1-29,00:01:02,50.127071424384084,0
63,2021-1-29,00:01:03,50.09451326283846,0
64,2021-1-29,00:01:04,50.1152476269372,0
65,2021-1-29,00:01:05,50.108292841595194,0
66,2021-1-29,00:01:06,50.082439318648,0
67,2021-1-29,00:01:07,50.075532177256115,0
68,2021-1-29,00:01:08,50.088010255687706,0
69,2021-1-29,00:01:09,50.07986744216562,0
70,2021-1-29,00:01:10,50.113069267039165,0
71,2021-1-29,00:01:11,50.06265868024662,0
72,2021-1-29,00:01:12,50.07884488431732,0
73,2021-1-29,00:01:13,50.07511084531302,0
74,2021-1-29,00:01:14,50.088791092572144,0
75,2021-1-29,00:01:15,50.092522183236056,0
76,2021-1-29,00:01:16,50.08963344668597,0
77,2021-1-29,00:01:17,50.064346318201984,0
78,2021-1-29,00:01:18,50.06556551249164,0
79,2021-1-29,00:01:19,50.05868057860209,0
80,2021-1-29,00:01:20,50.041544130788964,0
81,2021-1-29,00:01:21,50.03430700221984,0
82,2021-1-29,00:01:22,50.057183167350196,0
83,2021-1-29,00:01:23,50.065719212319124,0
